tempo,replica,cultivar,severidade
6,1,Catarina,"1,00"
6,2,Catarina,"2,42"
6,3,Catarina,"1,17"
6,4,Catarina,"2,54"
6,5,Catarina,"1,54"
6,6,Catarina,"2,38"
6,7,Catarina,"4,13"
12,1,Catarina,"15,33"
12,2,Catarina,"14,25"
12,3,Catarina,"14,17"
12,4,Catarina,"13,33"
12,5,Catarina,"14,00"
12,6,Catarina,"14,25"
12,7,Catarina,"17,83"
18,1,Catarina,"22,75"
18,2,Catarina,"32,67"
18,3,Catarina,"26,13"
18,4,Catarina,"27,58"
18,5,Catarina,"23,67"
18,6,Catarina,"31,42"
18,7,Catarina,"30,25"
24,1,Catarina,"41,17"
24,2,Catarina,"44,75"
24,3,Catarina,"47,17"
24,4,Catarina,"39,25"
24,5,Catarina,"40,58"
24,6,Catarina,"43,42"
24,7,Catarina,"43,00"
30,1,Catarina,"40,17"
30,2,Catarina,"51,08"
30,3,Catarina,"41,25"
30,4,Catarina,"41,33"
30,5,Catarina,"47,83"
30,6,Catarina,"35,58"
30,7,Catarina,"44,50"
36,1,Catarina,"46,50"
36,2,Catarina,"48,42"
36,3,Catarina,"47,92"
36,4,Catarina,"45,92"
36,5,Catarina,"48,08"
36,6,Catarina,"49,75"
36,7,Catarina,"49,50"
42,1,Catarina,"48,50"
42,2,Catarina,"49,92"
42,3,Catarina,"47,75"
42,4,Catarina,"47,17"
42,5,Catarina,"48,58"
42,6,Catarina,"47,50"
42,7,Catarina,"49,00"
48,1,Catarina,"47,42"
48,2,Catarina,"47,50"
48,3,Catarina,"41,83"
48,4,Catarina,"46,92"
48,5,Catarina,"48,67"
48,6,Catarina,"49,25"
48,7,Catarina,"50,17"
54,1,Catarina,"43,17"
54,2,Catarina,"47,75"
54,3,Catarina,"43,67"
54,4,Catarina,"54,08"
54,5,Catarina,"46,50"
54,6,Catarina,"48,00"
54,7,Catarina,"48,75"
6,1,Catarina,"1,67"
6,2,Catarina,"1,58"
6,3,Catarina,"1,50"
6,4,Catarina,"1,50"
6,5,Catarina,"1,67"
6,6,Catarina,"1,42"
6,7,Catarina,"1,42"
12,1,Catarina,"11,17"
12,2,Catarina,"18,08"
12,3,Catarina,"17,83"
12,4,Catarina,"14,67"
12,5,Catarina,"21,67"
12,6,Catarina,"21,08"
12,7,Catarina,"17,67"
18,1,Catarina,"35,33"
18,2,Catarina,"20,17"
18,3,Catarina,"30,58"
18,4,Catarina,"36,42"
18,5,Catarina,"23,33"
18,6,Catarina,"36,92"
18,7,Catarina,"25,75"
24,1,Catarina,"40,17"
24,2,Catarina,"32,08"
24,3,Catarina,"48,08"
24,4,Catarina,"40,42"
24,5,Catarina,"49,75"
24,6,Catarina,"41,50"
24,7,Catarina,"43,00"
30,1,Catarina,"51,33"
30,2,Catarina,"36,58"
30,3,Catarina,"37,50"
30,4,Catarina,"44,50"
30,5,Catarina,"38,92"
30,6,Catarina,"47,50"
30,7,Catarina,"38,92"
36,1,Catarina,"56,00"
36,2,Catarina,"50,42"
36,3,Catarina,"54,58"
36,4,Catarina,"46,67"
36,5,Catarina,"43,33"
36,6,Catarina,"45,42"
36,7,Catarina,"41,25"
42,1,Catarina,"56,00"
42,2,Catarina,"50,83"
42,3,Catarina,"54,58"
42,4,Catarina,"47,08"
42,5,Catarina,"43,33"
42,6,Catarina,"45,33"
42,7,Catarina,"40,83"
48,1,Catarina,"46,25"
48,2,Catarina,"49,58"
48,3,Catarina,"46,67"
48,4,Catarina,"47,08"
48,5,Catarina,"48,08"
48,6,Catarina,"51,08"
48,7,Catarina,"47,08"
54,1,Catarina,"50,42"
54,2,Catarina,"49,17"
54,3,Catarina,"47,08"
54,4,Catarina,"48,33"
54,5,Catarina,"47,25"
54,6,Catarina,"52,33"
54,7,Catarina,"48,33"
