isol;temp;rep;d1;d2;...;d18
n16;5;1;0;0;...;0
n16;5;2;0;0;...;0
n16;5;3;0;0;...;0
n16;5;4;0;0;...;0
n16;5;5;0;0;...;0
n16;10;1;0;0;...;0
n16;10;2;0;0;...;0
n16;10;3;0;0;...;0
n16;10;4;0;0;...;0
n16;10;5;0;0;...;0
n16;12;1;0;0;...;0
n16;12;2;0;0;...;0
n16;12;3;0;0;...;0
n16;12;4;0;0;...;0
n16;12;5;0;0;...;0
n16;16;1;0;0;...;10,77
n16;16;2;0;0;...;9,93
n16;16;3;0;0;...;10,53
n16;16;4;0;0;...;6,08
n16;16;5;0;0;...;11,51
n16;20;1;0;0;...;12,96
n16;20;2;0;0;...;16,28
n16;20;3;0;0;...;15,67
n16;20;4;0;0;...;14,64
n16;20;5;0;0;...;14,65
n16;25;1;0;0;...;18,69
n16;25;2;0;0;...;19,23
n16;25;3;0;0;...;19,1
n16;25;4;0;0;...;18,96
n16;25;5;0;0;...;20,59
n16;35;1;0;0;...;0
n16;35;2;0;0;...;0
n16;35;3;0;0;...;0
n16;35;4;0;0;...;0
n16;35;5;0;0;...;0
