isol;temp;rep;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
n16;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;12;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3,18;5,13;8,53;9,06;10,77
n16;16;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2,98;4,89;7,47;8,14;9,93
n16;16;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3,67;5,3;6,98;8,22;10,53
n16;16;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,99;5,12;5,82;6,08
n16;16;5;0;0;0;0;0;0;0;0;0;0;0;0;0;3,38;5,9;8,66;9,66;11,51
n16;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,22;8,24;11,62;12,96
n16;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3,91;8,2;10,56;14,83;16,28
n16;20;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3,64;8,6;9,58;13,38;15,67
n16;20;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,02;8,11;12,49;14,64
n16;20;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,25;8,98;12,15;14,65
n16;25;1;0;0;0;0;0;0;0;0;0;2,44;4,65;6,25;8,55;11;13,53;15,35;17,5;18,69
n16;25;2;0;0;0;0;0;0;0;0;3,02;5,11;7,8;7,8;7,95;9,26;12,47;17,63;18,12;19,23
n16;25;3;0;0;0;0;0;0;0;0;0;3,86;4,02;6,58;9,9;11,55;13,52;16,75;18,36;19,1
n16;25;4;0;0;0;0;0;0;0;3,23;7,58;11,57;11,57;12,43;13,36;14,07;15,01;16,85;17,31;18,96
n16;25;5;0;0;0;0;0;0;0;3,08;5,89;9,87;11,14;11,14;12,05;12,69;14,64;16,53;18,24;20,59
n16;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;35;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;35;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;35;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n16;35;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
