conc;bloco;mort;corr
0;A;17;2,766717187
0;B;12,28070175;-2,761871505
0;C;14,63414634;-0,004845681
1;A;17,70833333;3,596519295
1;B;22,22222222;8,884473934
1;C;17,9245283;3,849788532
2,5;A;38,59649123;28,06668995
2,5;B;62,6984127;56,3017375
2,5;C;58,42696629;51,29780067
5;A;46,49122807;37,31525838
5;B;66,66666667;60,95048883
5;C;63,36633663;57,08420059
10;A;67,0212766;61,36590917
10;B;42,26804124;32,36785695
10;C;77,17391304;73,25957387
15;A;89,47368421;87,66857542
15;B;62,5;56,06929993
15;C;93,61702128;92,52243404
20;A;85,71428571;83,26449521
20;B;79,80769231;76,34500766
20;C;98,75;98,53564333
